TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-09-27,2024-09-27,CM,NSE,STK,9027,INE098201036,VCL,BE,,,,,VAXTEX COTFAB LIMITED,0.88,0.88,0.83,0.85,,0.85,,0.85,,,210360,180626.01,299,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,2397,INE278H01035,SANDHAR,EQ,,,,,SANDHAR TECHNOLOGIES LTD,575.05,575.95,557.05,558.65,,571.40,,558.65,,,76194,42902259.10,7512,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,3010,INF846K01Y96,AXISTECETF,EQ,,,,,AXISAMC - AXISTECETF,448.10,458.00,430.00,449.86,,448.11,,449.91,,,8740,3958312.37,294,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,308,INE306A01021,BAJAJHIND,EQ,,,,,BAJAJ HINDUSTHAN SUGAR LT,41.00,43.88,41.00,42.66,,40.01,,42.66,,,82838738,3549202368.91,142871,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,18969,INE542Z01028,KAPSTON,BE,,,,,KAPSTON SERVICES LIMITED,217.95,217.95,205.00,210.53,,215.10,,210.53,,,3479,736857.69,110,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,6853,INE831A01028,MIRCELECTR,BE,,,,,MIRCELECTR-DEPO,24.48,24.80,23.81,24.23,,24.48,,24.26,,,213664,5183818.09,511,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,9223,INE413G01022,TPLPLASTEH,BE,,,,,TPL PLASTECH LIMITED,107.41,109.79,106.50,107.47,,107.26,,107.47,,,40205,4338302.17,574,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,10610,INE0CBM01019,USASEEDS,SM,,,,,UPSURGE SEEDS OF AGRI LTD,255.00,275.00,255.00,274.00,,250.00,,274.00,,,3600,965640.00,12,F1,300,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,9499,INE610C01014,ARENTERP,BE,,,,,RAJDARSHAN INDUSTRIES LTD,46.74,47.99,45.80,47.47,,46.74,,47.19,,,2899,135217.42,84,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,5855,INE148I07KN1,889SCL26,NS,,,,,SEC RE NCD 9.25% SR.VII,943.95,943.95,943.95,943.95,,928.25,,943.95,,,1,943.95,1,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,1472,INE648Z01023,ACCURACY,BE,,,,,ACCURACY SHIPPING LIMITED,10.54,10.54,10.54,10.54,,10.34,,10.54,,,45745,482152.30,98,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,4487,INE150B01039,ALKYLAMINE,EQ,,,,,ALKYL AMINES CHEM. LTD,2369.95,2370.20,2280.00,2296.70,,2335.95,,2296.35,,,84473,196020633.20,12370,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,11966,INE00E101023,BIKAJI,EQ,,,,,BIKAJI FOODS INTERN LTD,984.00,1007.95,946.95,959.05,,978.30,,958.95,,,867742,848334831.10,42523,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,11778,INE887G01027,GOKEX,EQ,,,,,GOKALDAS EXPORTS LTD.,953.95,982.45,945.50,978.95,,949.20,,978.95,,,94539,91627027.95,9895,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,6286,INE255D01024,GULPOLY,EQ,,,,,GULSHAN POLYOLS LIMITED,229.00,239.90,229.00,233.27,,228.13,,233.29,,,465606,109315558.45,12711,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,15161,INE120D01012,HITECHCORP,EQ,,,,,HITECH CORPORATION LTD,277.50,295.00,277.50,282.26,,280.08,,282.29,,,34478,9939840.75,1149,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,16867,INE197J01017,LPDC,BE,,,,,LANDMARK PR.DEV.CO.LTD,10.19,10.58,10.12,10.58,,10.08,,10.70,,,75308,787227.46,227,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,1997,INE115A01026,LICHSGFIN,EQ,,,,,LIC HOUSING FINANCE LTD,667.00,671.35,663.05,664.00,,666.45,,664.00,,,1474940,982927498.95,31805,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,23052,INE0Q6H01012,SONAMAC,SM,,,,,SONA MACHINERY LIMITED,185.00,186.75,183.00,183.00,,187.10,,183.00,,,12000,2220850.00,12,F1,1000,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,795,IN0020170141,SGBDEC2512,GB,,,,,2.50%GOLDBONDS2025 SR-XII,7749.00,7749.00,7749.00,7749.00,,7749.00,,7850.30,,,4,30996.00,2,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,21823,INE090Y01013,CADSYS,SM,,,,,CADSYS (INDIA) LIMITED,131.50,136.90,131.50,136.90,,130.40,,136.90,,,15000,2041050.00,26,F1,500,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,19020,INE880J01026,JSWINFRA,EQ,,,,,JSW INFRASTRUCTURE LTD,345.00,355.00,344.00,352.70,,341.00,,352.70,,,5176515,1813260812.50,65924,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,15332,INE584A01023,NMDC,EQ,,,,,NMDC LTD.,237.19,239.80,234.30,235.18,,234.29,,235.18,,,17801016,4213874677.53,152749,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,10970,INE0MEG01014,VIVIANA,ST,,,,,VIVIANA POWER TECH LTD,840.00,840.05,826.00,826.00,,869.00,,826.00,,,3500,2920025.00,7,F1,500,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,10990,INE944F01028,RADICO,EQ,,,,,RADICO KHAITAN LTD,2134.00,2137.80,2045.40,2065.40,,2133.95,,2065.35,,,465729,972368926.20,29818,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,10176,INF200KA1FS1,SETFNIF50,EQ,,,,,SBI-ETF NIFTY 50,276.34,276.96,275.56,276.11,,275.56,,276.10,,,203184,56144302.95,3567,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,5551,INE251C01025,ABMINTLLTD,BE,,,,,ABM INTERNATIONAL LTD,59.96,59.96,59.90,59.90,,58.79,,59.90,,,727,43586.60,10,F1,1,,,,,
2024-09-27,2024-09-27,CM,NSE,STK,760,INE067A01029,CGPOWER,EQ,,,,,CG POWER AND IND SOL LTD,771.00,773.65,757.00,761.75,,772.10,,761.70,,,1488749,1135400263.70,59785,F1,1,,,,,
