TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-08-30,2024-08-30,CM,NSE,STK,31837,INE099F01013,SREEL,EQ,,,,,SREELEATHERS LIMITED,298.30,302.45,297.25,300.75,302.00,296.70,,300.75,,,7780,2337107.85,739,F1,1,,,,,
2024-08-30,2024-08-30,CM,NSE,STK,21401,INF277KA1976,TATAGOLD,EQ,,,,,TATAAML-TATAGOLD,7.11,7.19,7.06,7.11,7.11,7.10,,7.11,,,2535544,18011001.18,8063,F1,1,,,,,
2024-08-30,2024-08-30,CM,NSE,STK,9592,INE0JA001018,VENUSPIPES,EQ,,,,,VENUS PIPES & TUBES LTD,2385.25,2437.00,2356.95,2429.90,2430.00,2385.05,,2429.95,,,64986,156501314.45,8733,F1,1,,,,,
2024-08-30,2024-08-30,CM,NSE,STK,25718,INE205C01021,POLYMED,EQ,,,,,POLY MEDICURE LIMITED,2324.80,2352.50,2300.05,2338.25,2325.10,2304.50,,2338.30,,,81511,190016489.05,10746,F1,1,,,,,
2024-08-30,2024-08-30,CM,NSE,STK,9035,INE218C01016,AUSOMENT,BE,,,,,AUSOM ENTERPRISE LIMITED,98.00,98.94,96.00,96.00,96.00,97.00,,95.06,,,2983,293516.55,20,F1,1,,,,,
2024-08-30,2024-08-30,CM,NSE,STK,8827,INE652Z01017,AVROIND,EQ,,,,,AVRO INDIA LIMITED,166.90,175.80,160.67,169.38,168.53,166.87,,169.39,,,182937,30824732.28,3341,F1,1,,,,,
2024-08-30,2024-08-30,CM,NSE,STK,4007,INE558D01021,CORALFINAC,EQ,,,,,CORAL INDIA FIN & HOUS LT,57.68,59.40,56.10,57.01,57.49,56.98,,57.14,,,52132,3020412.67,1718,F1,1,,,,,
2024-08-30,2024-08-30,CM,NSE,STK,5865,INE548Z01017,LAGNAM,EQ,,,,,LAGNAM SPINTEX LIMITED,128.83,130.65,126.11,126.44,126.50,128.10,,126.44,,,24009,3074054.67,1381,F1,1,,,,,
2024-08-30,2024-08-30,CM,NSE,STK,2463,INE099Z01011,MIDHANI,EQ,,,,,MISHRA DHATU NIGAM LTD,398.50,416.95,397.30,414.75,415.90,395.55,,414.75,,,1199607,490708034.80,57940,F1,1,,,,,
2024-08-30,2024-08-30,CM,NSE,STK,20415,INE04VX01019,SHEETAL,SM,,,,,SHEETAL UNIVERSAL LIMITED,71.35,71.35,68.25,69.80,68.50,71.35,,69.80,,,44000,3108100.00,22,F1,2000,,,,,
