TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-11-01,2024-11-01,CM,NSE,STK,6733,INE749A01030,JINDALSTEL,EQ,,,,,JINDAL STEEL & POWER LTD,927.90,935.40,922.40,929.50,929.50,920.50,,929.50,,,228890,213238565.55,7587,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,9641,INE060B01014,KHANDSE,EQ,,,,,KHANDWALA SECURITIES LTD,31.90,31.90,29.10,30.15,29.90,30.40,,30.15,,,17978,544269.42,127,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,10786,INE781B01015,NOIDATOLL,EQ,,,,,NOIDA TOLL BRIDGE CO LTD,14.48,14.89,14.10,14.84,14.89,14.19,,14.88,,,53433,787739.51,183,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,2188,INE854S01022,GENCON,EQ,,,,,GENERIC ENG CONS PROJ LTD,41.00,42.22,41.00,41.98,41.90,40.59,,41.98,,,24840,1041210.28,262,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,1235,INE224A01026,GREAVESCOT,EQ,,,,,GREAVES COTTON LTD.,186.89,189.58,186.07,187.88,187.40,186.07,,187.85,,,492300,92672538.40,7062,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,3396,INE123C01018,TAINWALCHM,EQ,,,,,TAINWALA CHEMICAL AND PLA,280.20,294.10,279.10,283.40,282.00,284.29,,283.40,,,7107,2021025.75,252,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,24520,INE0OXV01027,TUNWAL,SM,,,,,TUNWAL E-MOTORS LIMITED,41.35,42.95,41.35,42.80,42.60,41.35,,42.80,,,68000,2900300.00,31,F1,2000,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,2666,INE709Z01015,VERA,SM,,,,,VERA SYNTHETIC LIMITED,101.25,101.25,101.25,101.25,101.25,98.00,,101.25,,,1500,151875.00,1,F1,1500,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,3002,INE066O01014,WONDERLA,EQ,,,,,WONDERLA HOLIDAYS LTD.,877.05,887.95,855.65,871.95,872.00,870.85,,871.95,,,36504,31829627.75,1389,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,19294,INE0KZ301010,KONTOR,ST,,,,,KONTOR SPACE LIMITED,159.85,161.30,159.00,160.00,161.00,153.75,,160.00,,,6000,963630.00,9,F1,600,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,15017,INE215I01027,MAANALU,EQ,,,,,MAAN ALUMINIUM LIMITED,254.40,259.50,230.75,235.85,233.80,250.67,,235.95,,,565808,137901605.00,8372,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,15384,INE274G01010,DHANI,EQ,,,,,DHANI SERVICES LIMITED,57.74,59.50,57.50,59.33,59.39,57.37,,59.33,,,872406,51447333.26,3021,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,11667,INE366A01041,DWARKESH,EQ,,,,,DWARIKESH SUGAR IND LTD,63.00,63.65,63.00,63.50,63.60,62.90,,63.50,,,225715,14312078.85,2626,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,10599,INE844O01030,GUJGASLTD,EQ,,,,,GUJARAT GAS LIMITED,523.00,525.40,521.10,523.35,524.75,519.15,,523.35,,,52406,27445732.10,2428,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,10633,INF179KC1HR4,HDFCNIF100,EQ,,,,,HDFCAMC - HDFCNIF100,26.12,26.70,25.61,25.82,26.20,25.61,,25.82,,,23382,607892.05,342,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,31970,INE557F07132,901NHB34,N6,,,,,BOND 9.01%PA TF TR-I S 3B,6670.00,6670.00,6670.00,6670.00,6670.00,6662.50,,6670.00,,,45,300150.00,1,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,739,INE169A01031,COROMANDEL,EQ,,,,,COROMANDEL INTERNTL. LTD,1665.80,1694.80,1665.80,1691.80,1691.00,1668.65,,1691.80,,,60942,102844435.15,2770,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,14154,INE405E01023,UNOMINDA,EQ,,,,,UNO MINDA LIMITED,985.00,994.10,958.10,978.05,973.00,983.30,,977.95,,,53373,52522069.30,5435,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,16755,INE222J01013,RANEENGINE,BE,,,,,RANE ENG VALVE LTD,429.65,434.00,422.00,428.50,423.00,422.00,,428.45,,,2403,1031889.20,83,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,15343,INE888C01040,SADHNANIQ,EQ,,,,,SADHANA NITROCHEM LIMITED,51.51,51.91,51.00,51.50,51.81,50.67,,51.54,,,73150,3772244.42,929,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,20372,INE00Y201027,FLAIR,EQ,,,,,FLAIR WRITING INDUST LTD,281.05,285.30,280.15,282.90,284.85,280.10,,282.90,,,11279,3197944.75,671,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,3699,INE287Z01012,GAYAHWS,BE,,,,,GAYATRI HIGHWAYS LIMITED,1.39,1.39,1.33,1.39,1.39,1.33,,1.39,,,40496,56142.21,51,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,304,IN0020170067,SGBOCT25IV,GB,,,,,2.50% GOLDBONDS2025SR-IV,8433.00,8433.00,8100.00,8100.00,8100.00,8433.00,,8371.00,,,3,24966.00,3,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,13620,INE242C01024,ANANTRAJ,EQ,,,,,ANANT RAJ LIMITED,748.00,768.00,748.00,757.20,758.20,740.80,,757.25,,,418727,317250964.75,17391,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,4986,INE962Y01021,IRCON,EQ,,,,,IRCON INTERNATIONAL LTD,219.00,221.00,219.00,220.18,219.82,217.64,,220.15,,,1118767,246468505.38,18645,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,20929,INE349X01015,JALAN,SM,,,,,JALAN TRANSOLU. INDIA LTD,4.75,4.75,4.45,4.60,4.45,4.55,,4.60,,,15000,69600.00,5,F1,3000,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,14972,INE455I01029,KSCL,EQ,,,,,KAVERI SEED CO. LTD.,930.00,932.00,911.00,920.45,917.00,910.95,,920.50,,,14086,12999478.40,1581,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,17882,INE0OUT01019,ORIANA,SM,,,,,ORIANA POWER LIMITED,2329.00,2378.00,2300.00,2315.90,2306.05,2282.25,,2315.90,,,45600,106066597.50,515,F1,75,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,10447,INE854D01024,UNITDSPR,EQ,,,,,UNITED SPIRITS LIMITED,1467.50,1474.95,1450.05,1453.15,1453.00,1449.10,,1453.15,,,54659,79587595.75,4574,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,2979,INE749B01020,ORTINGLOBE,EQ,,,,,ORTIN GLOBAL LIMITED,20.30,20.30,19.70,19.76,19.70,19.63,,19.78,,,7609,151292.58,126,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,20242,INE093I01010,OBEROIRLTY,EQ,,,,,OBEROI REALTY LIMITED,1979.90,1997.60,1961.95,1973.30,1982.00,1966.80,,1973.30,,,51784,102109684.15,3070,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,6858,INE506Z01015,DHRUV,EQ,,,,,DHRUV CONSULTANCY SER LTD,116.95,116.98,113.51,115.32,115.00,112.24,,115.25,,,6434,743319.99,138,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,17050,INE952A01022,HINDNATGLS,BE,,,,,HIND NATL GLASS & IND LTD,22.86,25.18,22.86,23.78,23.35,23.99,,23.78,,,17459,415741.10,96,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,18967,INE542Z01028,KAPSTON,EQ,,,,,KAPSTON SERVICES LIMITED,269.40,275.00,261.05,270.65,271.00,269.38,,270.65,,,4167,1130030.20,166,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,6853,INE831A01028,MIRCELECTR,BE,,,,,MIRCELECTR-DEPO,21.60,21.99,21.32,21.66,21.55,21.26,,21.65,,,143405,3119607.39,457,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,3010,INF846K01Y96,AXISTECETF,EQ,,,,,AXISAMC - AXISTECETF,436.27,436.27,426.19,432.16,432.78,431.80,,432.19,,,746,322928.47,56,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,308,INE306A01021,BAJAJHIND,EQ,,,,,BAJAJ HINDUSTHAN SUGAR LT,34.85,35.40,34.85,35.29,35.29,34.84,,35.29,,,2056349,72563842.09,11724,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,9027,INE098201036,VCL,BE,,,,,VAXTEX COTFAB LIMITED,0.85,0.85,0.81,0.84,0.85,0.81,,0.84,,,115929,98383.56,162,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,25835,INE498Q01014,VINCOFE,EQ,,,,,VINTAGE COFFEE N BVRGS L,131.79,134.00,130.42,132.36,131.90,130.85,,132.40,,,167230,22119234.99,1966,F1,1,,,,,
2024-11-01,2024-11-01,CM,NSE,STK,2397,INE278H01035,SANDHAR,EQ,,,,,SANDHAR TECHNOLOGIES LTD,514.00,514.00,496.00,506.30,507.95,489.05,,506.35,,,47861,24213180.25,1658,F1,1,,,,,
