TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-10-17,2024-10-17,CM,NSE,STK,22947,INE777F01014,EXICOM,EQ,,,,,EXICOM TELE SYSTEMS LTD,347.80,349.00,333.00,334.70,335.10,345.30,,335.00,,,349245,117958777.40,8172,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,11896,INE007B01023,GEOJITFSL,EQ,,,,,GEOJIT FINANCIAL SER L,145.55,153.00,142.32,148.58,145.69,144.64,,149.00,,,4631436,685043621.07,31986,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,1372,INE310C01029,HINDCOMPOS,EQ,,,,,HINDUSTAN COMPOSITES LTD.,520.45,523.45,502.00,508.55,512.00,518.50,,509.00,,,10624,5430730.25,975,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,19456,IN0020230093,SGBSEP31II,GB,,,,,2.50%GOLDBONDS2031SR-II,8394.05,8410.00,8355.89,8391.36,8401.10,8394.05,,8388.00,,,1213,10171006.16,192,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,368,INE373A01013,BASF,EQ,,,,,BASF INDIA LTD,8360.80,8450.00,8150.50,8252.45,8248.15,8314.70,,8253.00,,,27925,231009387.65,8192,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,18341,INE0AE001013,VPRPL,EQ,,,,,VISHNU PRAKASH R PUNGLI L,301.95,304.15,283.30,285.05,285.95,299.40,,285.00,,,2061048,602438337.50,36614,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,7885,INE268B01013,KREBSBIO,BE,,,,,KREBS BIOCHEMICALS & IND,86.60,86.60,83.29,83.29,83.29,84.99,,83.00,,,8009,676995.31,26,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,11571,INE0DK501011,PPLPHARMA,EQ,,,,,PIRAMAL PHARMA LIMITED,233.79,235.99,222.60,224.22,224.00,232.38,,224.00,,,4231489,964180393.83,41626,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,23721,INE0TNX01015,REFRACTORY,ST,,,,,REFRACTORY SHAPES LIMITED,111.50,114.50,109.35,114.50,114.50,115.10,,115.00,,,48000,5375600.00,10,F1,4000,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,5385,INE216P01012,AAVAS,EQ,,,,,AAVAS FINANCIERS LIMITED,1755.80,1780.00,1710.10,1728.00,1730.00,1746.60,,1728.00,,,107143,185380643.85,17300,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,1797,INE01BK01022,AWHCL,EQ,,,,,ANTONY WASTE HDG CELL LTD,840.00,846.20,805.60,810.90,808.00,837.00,,811.00,,,208528,171069384.30,11218,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,19587,INE0P4T01013,ACSAL,ST,,,,,ARVIND AND COMPANY,115.50,115.50,112.00,113.50,113.50,110.00,,114.00,,,60000,6882000.00,17,F1,3000,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,24905,INE0R4Z01018,BRACEPORT,SM,,,,,BRACE PORT LOGISTICS LTD,115.00,115.00,111.15,112.95,111.15,117.15,,113.00,,,86400,9753760.00,24,F1,1600,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,11731,INE025A01027,CONSOFINVT,EQ,,,,,CONSO. FIN. & HOLD. LTD.,204.95,204.95,197.00,200.76,204.68,200.12,,201.00,,,10089,2018917.76,490,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,2188,INE854S01022,GENCON,EQ,,,,,GENERIC ENG CONS PROJ LTD,45.19,45.19,41.70,41.81,41.71,43.70,,42.00,,,144248,6074551.44,553,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,1235,INE224A01026,GREAVESCOT,EQ,,,,,GREAVES COTTON LTD.,193.85,196.37,188.10,188.99,189.65,193.22,,189.00,,,3996910,768246518.52,35586,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,3396,INE123C01018,TAINWALCHM,EQ,,,,,TAINWALA CHEMICAL AND PLA,262.00,262.10,233.00,237.82,233.00,254.16,,238.00,,,11674,2842964.24,738,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,24520,INE0OXV01027,TUNWAL,SM,,,,,TUNWAL E-MOTORS LIMITED,44.95,45.85,44.00,44.10,44.15,44.95,,44.00,,,134000,6027100.00,66,F1,2000,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,3002,INE066O01014,WONDERLA,EQ,,,,,WONDERLA HOLIDAYS LTD.,904.00,904.95,883.35,889.60,890.40,896.40,,890.00,,,23139,20598837.35,3799,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,11214,INE781B01015,NOIDATOLL,BE,,,,,NOIDA TOLL BRIDGE CO LTD,14.00,14.05,14.00,14.01,14.01,14.13,,14.00,,,92193,1293448.05,58,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,6733,INE749A01030,JINDALSTEL,EQ,,,,,JINDAL STEEL & POWER LTD,959.00,961.95,915.00,930.00,930.90,960.25,,930.00,,,5120919,4763779683.40,111892,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,9641,INE060B01014,KHANDSE,EQ,,,,,KHANDWALA SECURITIES LTD,28.57,28.57,27.00,27.32,27.28,27.88,,27.00,,,13049,357430.48,335,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,955,INE284A01012,ESABINDIA,EQ,,,,,ESAB INDIA LTD,6426.00,6514.95,6385.40,6401.60,6385.40,6465.40,,6401.00,,,2680,17270438.20,953,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,25134,INE0RE001014,GALAPREC,EQ,,,,,GALA PRECISION ENG LTD,930.00,975.00,903.00,919.75,921.00,927.60,,921.00,,,255885,240189459.95,17143,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,10865,INE382T01030,GVPTECH,EQ,,,,,GVP INFOTECH LIMITED,12.18,12.86,12.18,12.35,12.20,12.43,,12.00,,,47353,587722.38,252,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,11591,INF179KC1965,HDFCNIFTY,EQ,,,,,HDFCAMC - HDFCNIFTY,284.20,284.20,273.22,273.70,274.15,275.94,,274.00,,,57544,15768226.19,1247,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,18649,INE0LXA01019,HOLMARC,SM,,,,,HOLMARC OPTO MECHATRO L,116.05,119.50,116.05,119.50,119.50,119.10,,120.00,,,3000,353325.00,2,F1,1500,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,2947,INE020B07IG5,888REC29,NF,,,,,BOND8.88% PA TF TR II S2B,1203.00,1203.00,1203.00,1203.00,1203.00,1201.50,,1203.00,,,94,113082.00,1,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,14937,INE536H01010,CIEINDIA,EQ,,,,,CIE AUTOMOTIVE INDIA LTD,546.80,546.80,526.10,528.85,527.40,543.25,,529.00,,,103977,55506274.40,9378,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,15085,INF789F1AYK6,SILVERETF,EQ,,,,,UTIAMC - SILVERETF,89.86,90.80,89.01,89.79,89.70,90.23,,90.00,,,179816,16144261.74,819,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,2018,INE162B01018,LUMAXIND,EQ,,,,,LUMAX INDUSTRIES LTD,2615.75,2621.40,2541.35,2589.35,2605.55,2596.30,,2589.00,,,1399,3600383.30,624,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,15409,INE317F01035,NESCO,EQ,,,,,NESCO LTD.,1000.00,1000.00,952.35,958.25,955.10,997.20,,958.00,,,69243,67228252.55,6684,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,14900,INE280H01015,SAHYADRI,EQ,,,,,SAHYADRI INDUSTRIES LTD,346.10,349.85,338.00,339.20,340.05,345.30,,339.00,,,8030,2743550.70,534,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,18743,INE903U01023,SIGNATURE,EQ,,,,,SIGNATUREGLOBAL INDIA LTD,1512.05,1524.00,1473.10,1485.05,1489.00,1508.65,,1485.00,,,389629,582809442.35,14738,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,857,INE041A01016,DHAMPURSUG,EQ,,,,,DHAMPUR SUGAR MILLS LTD.,212.00,213.40,206.55,207.61,207.37,211.49,,208.00,,,287877,60263557.54,6413,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,13423,INE050401020,ELIN,EQ,,,,,ELIN ELECTRONICS LIMITED,232.70,233.19,222.91,224.33,223.80,230.40,,224.00,,,127975,29085666.93,3260,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,5759,INE039A07801,99IFCI24,NH,,,,,9.90 % SRNCD SR VI,1076.00,1078.00,1076.00,1076.06,1076.06,1077.11,,1077.00,,,97,104425.07,5,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,17675,INE270A01029,ALOKINDS,EQ,,,,,ALOK INDUSTRIES LIMITED,23.81,23.89,23.01,23.11,23.09,23.81,,23.00,,,8709132,203227210.46,20588,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,5378,INE439A01020,ASAHIINDIA,EQ,,,,,ASAHI INDIA GLASS LIMITED,745.00,750.55,705.55,712.10,709.50,739.10,,712.00,,,172125,123727676.45,11896,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,22675,INE646H01017,CAPITALSFB,EQ,,,,,CAPITAL SMALL FIN BANK L,296.50,300.00,295.00,296.65,296.10,296.20,,297.00,,,27432,8133338.40,917,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,7506,INE049B01025,WOCKPHARMA,EQ,,,,,WOCKHARDT LIMITED,1102.50,1104.00,1050.00,1054.65,1051.00,1098.15,,1055.00,,,304661,324578055.40,9656,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,31507,INE147P01019,JPOLYINVST,EQ,,,,,JIND POL INV & FIN CO LTD,794.50,799.85,770.00,774.50,786.40,792.15,,775.00,,,8471,6632433.60,1293,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,17088,INE0O1S01012,MAGSON,SM,,,,,MAGSON RETAIL AND DIST L,99.80,99.85,99.80,99.85,99.85,99.90,,100.00,,,24000,2396100.00,11,F1,2000,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,10415,INE296G01013,MUTHOOTCAP,EQ,,,,,MUTHOOT CAP SERV LTD,372.25,388.00,366.00,381.40,378.35,372.25,,381.00,,,98156,37416439.60,4024,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,13414,INE411H01032,RSYSTEMS,EQ,,,,,R SYS INTERNATIONAL LTD,551.00,553.10,518.55,520.70,520.00,547.65,,521.00,,,341934,181272516.40,11339,F1,1,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,23520,INE0S8401018,DCG,SM,,,,,DCG CABLES & WIRES LTD,137.00,138.90,136.00,137.50,138.75,138.00,,138.00,,,43200,5944200.00,35,F1,1200,,,,,
2024-10-17,2024-10-17,CM,NSE,STK,17006,IN9623B01058,FELDVR,BE,,,,,FUTURE ENTERPRISES LTD,5.11,5.37,5.05,5.29,5.29,5.13,,5.00,,,4474,23237.82,30,F1,1,,,,,
