TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-07-02,2024-07-02,CM,NSE,STK,16791,INE033L07GO5,801TCH25,N4,,,,,SEC RED NCD 8.01% SR.II,1001.00,1001.00,1001.00,1001.00,1001.00,1001.00,,1001.00,,,100,100100.00,1,F1,1,,,,,
2024-07-02,2024-07-02,CM,NSE,STK,4717,INE129A01019,GAIL,EQ,,,,,GAIL (INDIA) LTD,223.65,226.00,219.80,221.67,221.47,222.55,,221.67,,,23734457,5300548416.23,119213,F1,1,,,,,
2024-07-02,2024-07-02,CM,NSE,STK,8342,INF109KC14A8,GSEC5IETF,EQ,,,,,ICICIPRAMC - ICICI5GSEC,57.00,57.01,56.80,56.90,56.90,57.00,,56.90,,,1044,59305.39,16,F1,1,,,,,
2024-07-02,2024-07-02,CM,NSE,STK,13637,INE780C01023,JMFINANCIL,EQ,,,,,JM FINANCIAL LIMITED,88.45,92.30,88.36,90.49,91.00,89.09,,90.49,,,6852564,623117184.56,40972,F1,1,,,,,
2024-07-02,2024-07-02,CM,NSE,STK,22663,INE953L01027,JSFB,EQ,,,,,JANA SMALL FIN BANK LTD,701.00,701.00,666.65,673.45,678.00,695.25,,673.45,,,153253,103848176.50,7135,F1,1,,,,,
2024-07-02,2024-07-02,CM,NSE,STK,1805,INE900B01029,KABRAEXTRU,EQ,,,,,KABRA EXTRUSION TECHNIK L,414.75,417.75,409.00,413.00,413.70,412.30,,413.00,,,38338,15831206.70,3445,F1,1,,,,,
2024-07-02,2024-07-02,CM,NSE,STK,16827,INE760A01029,KOKUYOCMLN,EQ,,,,,KOKUYO CAMLIN LIMITED,159.99,162.00,154.85,157.94,158.50,156.79,,157.94,,,475308,75487108.73,13722,F1,1,,,,,
2024-07-02,2024-07-02,CM,NSE,STK,7950,INE0HKW01018,PRECISION,SM,,,,,PRECISION METALIKS LTD,49.95,49.95,48.05,49.00,49.00,49.95,,49.00,,,18000,879700.00,9,F1,2000,,,,,
2024-07-02,2024-07-02,CM,NSE,STK,16045,INE689W01016,PRINCEPIPE,EQ,,,,,PRINCE PIPES FITTINGS LTD,692.00,708.00,686.00,696.85,698.00,683.40,,696.85,,,435196,303576394.20,19121,F1,1,,,,,
2024-07-02,2024-07-02,CM,NSE,STK,1338,INE480C01038,SDBL,EQ,,,,,SOM DIST & BREW LTD,115.45,119.25,113.55,117.69,118.40,114.50,,117.69,,,3301117,384783476.46,20243,F1,1,,,,,
2024-07-02,2024-07-02,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,7490.00,7490.00,7489.99,7489.99,7489.99,7489.99,,7489.99,,,11,82389.97,4,F1,1,,,,,
2024-07-02,2024-07-02,CM,NSE,STK,9219,INE413G01022,TPLPLASTEH,EQ,,,,,TPL PLASTECH LIMITED,92.00,92.00,89.00,91.18,91.45,89.68,,91.18,,,212891,19265227.36,1955,F1,1,,,,,
2024-07-02,2024-07-02,CM,NSE,STK,10610,INE0CBM01019,USASEEDS,SM,,,,,UPSURGE SEEDS OF AGRI LTD,278.95,279.00,270.00,272.25,270.00,280.00,,272.25,,,2400,660585.00,8,F1,300,,,,,
