TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-07-31,2024-07-31,CM,NSE,STK,7412,INF174KA1IA5,ALPHA,EQ,,,,,KOTAKMAMC - KOTAKALPHA,57.25,57.82,57.01,57.76,57.76,57.19,,57.76,,,1057544,60940162.27,4595,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,15151,INE925C01016,MADHAV,EQ,,,,,MADHAV MARBLE & GRANITE,50.00,51.00,48.62,48.92,49.00,49.65,,48.75,,,11053,545725.49,341,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,7400.64,7599.90,7400.64,7436.24,7435.00,7400.64,,7437.08,,,235,1750030.46,40,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,7053,INE793A01012,ACCELYA,EQ,,,,,ACCELYA SOLN INDIA LTD,1840.00,1845.00,1806.60,1812.30,1810.00,1827.45,,1812.35,,,11300,20604048.20,2031,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,11193,INF846K011K1,AXISILVER,EQ,,,,,AXISAMC - AXISILVER,83.55,85.18,83.55,84.65,84.50,83.07,,84.65,,,471969,39870411.20,578,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,22717,INE010601016,ENTERO,EQ,,,,,ENTERO HEALTHCARE SOLU L,1200.00,1200.00,1181.00,1195.85,1195.00,1188.20,,1195.85,,,15212,18133366.45,2061,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,4127,INE699B01027,SAMBHAAV,EQ,,,,,SAMBHAAV MEDIA LTD,5.47,5.47,5.22,5.30,5.35,5.25,,5.30,,,115440,611628.17,251,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,22521,INF789F1AZE6,NIF5GETF,EQ,,,,,UTIAMC - NIF5GETF,57.82,57.82,57.01,57.15,57.50,57.04,,57.15,,,269,15382.57,14,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,20242,INE093I01010,OBEROIRLTY,EQ,,,,,OBEROI REALTY LIMITED,1841.90,1879.00,1830.60,1862.40,1870.00,1827.10,,1862.40,,,1209788,2248619397.85,75258,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,5309,INE00D001018,REXPIPES,SM,,,,,REX PIPES AND CABLES LTD,78.05,78.05,76.45,76.45,76.45,78.00,,76.45,,,6000,465000.00,3,F1,2000,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,14793,INE933B01012,MEGASOFT,EQ,,,,,MEGASOFT LTD,73.00,75.00,72.50,73.17,72.98,73.69,,73.17,,,280136,20609682.64,2298,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,24267,INE01IH01015,SYLVANPLY,SM,,,,,SYLVAN PLYBOARD (INDIA) L,116.50,116.50,110.85,113.60,113.20,113.90,,113.60,,,64000,7228400.00,30,F1,2000,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,2043,INE331A01037,RAMCOCEM,EQ,,,,,THE RAMCO CEMENTS LIMITED,825.00,833.95,822.80,826.05,826.00,823.70,,826.05,,,668598,553716837.00,22493,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,8652,INE918N01018,VETO,EQ,,,,,VETO SWITCHGEAR CABLE LTD,175.70,177.17,168.30,170.91,171.00,174.23,,170.91,,,830713,142901265.56,15844,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,20223,INE201M01029,CLEDUCATE,EQ,,,,,CL EDUCATE LIMITED,91.42,92.19,89.00,89.63,89.35,91.42,,89.64,,,123057,11170594.78,2114,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,15044,INE124G01033,DELTACORP,EQ,,,,,DELTA CORP LIMITED,137.00,138.50,135.50,135.77,136.00,136.25,,135.77,,,1850871,252711557.35,10622,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,15214,INE477B01010,DVL,EQ,,,,,DHUNSERI VENTURES LIMITED,410.50,426.35,408.55,423.20,423.00,406.50,,423.20,,,311994,131422321.60,13822,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,19821,INE140A07757,9PEL25,N0,,,,,SEC RE NCD 9.00% SR I,1050.00,1050.00,1049.00,1049.00,1049.00,1050.00,,1049.00,,,30,31490.00,3,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,4986,INE962Y01021,IRCON,EQ,,,,,IRCON INTERNATIONAL LTD,295.45,296.50,288.05,288.75,288.85,295.15,,288.75,,,7124681,2064501478.65,83326,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,20929,INE349X01015,JALAN,SM,,,,,JALAN TRANSOLU. INDIA LTD,3.25,3.25,3.15,3.20,3.20,3.15,,3.20,,,15000,47850.00,5,F1,3000,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,14972,INE455I01029,KSCL,EQ,,,,,KAVERI SEED CO. LTD.,1120.00,1122.00,1067.95,1070.75,1071.00,1116.60,,1070.75,,,214424,232986874.70,19676,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,10447,INE854D01024,UNITDSPR,EQ,,,,,UNITED SPIRITS LIMITED,1413.85,1424.50,1406.25,1413.30,1406.90,1409.25,,1413.30,,,940385,1328665678.60,50890,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,304,IN0020170067,SGBOCT25IV,GB,,,,,2.50% GOLDBONDS2025SR-IV,7499.97,7500.00,7300.00,7300.00,7300.00,7400.00,,7178.00,,,16,117999.91,6,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,13620,INE242C01024,ANANTRAJ,EQ,,,,,ANANT RAJ LIMITED,562.10,562.10,550.35,555.10,554.70,559.10,,555.05,,,790958,438583297.25,25902,F1,1,,,,,
2024-07-31,2024-07-31,CM,NSE,STK,20372,INE00Y201027,FLAIR,EQ,,,,,FLAIR WRITING INDUST LTD,329.90,329.90,319.10,323.75,325.10,325.15,,323.70,,,101079,32743997.30,2734,F1,1,,,,,
