TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-11-18,2024-11-18,CM,NSE,STK,16723,INE326B01035,ALMONDZ,BE,,,,,ALMONDZ GLOBAL SEC LTD,28.75,28.99,28.60,28.60,28.60,28.75,,29.06,,,78600,2263543.03,87,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,685,INE121A01024,CHOLAFIN,EQ,,,,,CHOLAMANDALAM IN & FIN CO,1211.75,1253.80,1207.30,1242.80,1240.00,1205.70,,1242.80,,,1661116,2054910139.25,84630,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,11447,INE075Z01011,CMRSL,SM,,,,,CYBER MEDIA RES & SER LTD,112.30,112.30,112.30,112.30,112.30,118.20,,112.30,,,800,89840.00,1,F1,800,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,19943,INE288B01029,DEEPAKNTR,EQ,,,,,DEEPAK NITRITE LTD,2634.00,2634.00,2511.75,2569.30,2560.00,2638.50,,2569.30,,,688509,1770206875.85,65792,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,23407,INF740KA1UM0,LIQUIDADD,EQ,,,,,DSPAMC - LIQUIDADD,1041.55,1041.57,1041.55,1041.56,1041.57,1041.39,,1041.56,,,579543,603629612.43,2209,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,4378,INF346A01034,SENSEXIETF,EQ,,,,,ICICI PRUD SENSEX ETF,879.01,896.13,870.00,873.83,874.69,877.44,,873.87,,,7481,6546001.52,611,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,20556,INE922K01024,INDIASHLTR,EQ,,,,,INDIA SHELTER FIN CORP L,643.75,653.10,631.35,640.00,640.70,643.70,,639.95,,,88139,56433084.90,10559,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,20321,INE274V01019,SHANKARA,EQ,,,,,SHANKARA BLDG PRODUCT LTD,611.75,619.25,589.90,590.65,590.45,609.40,,590.65,,,116077,69860928.45,4742,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,3280,INE869Y01010,TEMBO,BE,,,,,TEMBO GLOBAL IND LTD,674.05,674.05,674.05,674.05,674.05,687.80,,674.05,,,14874,10025819.70,317,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,8002.00,8002.00,7801.06,8001.80,8002.00,8002.00,,8001.80,,,37,295871.36,12,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,4717,INE129A01019,GAIL,EQ,,,,,GAIL (INDIA) LTD,190.00,190.85,184.62,185.46,185.15,188.89,,185.45,,,14792702,2754633959.46,169914,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,8342,INF109KC14A8,GSEC5IETF,EQ,,,,,ICICIPRAMC - ICICI5GSEC,59.35,59.35,57.65,58.22,57.65,58.18,,58.22,,,168936,9864846.11,86,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,7950,INE0HKW01018,PRECISION,SM,,,,,PRECISION METALIKS LTD,49.15,49.15,48.00,48.45,48.45,49.15,,48.45,,,20000,969300.00,10,F1,2000,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,16045,INE689W01016,PRINCEPIPE,EQ,,,,,PRINCE PIPES FITTINGS LTD,442.15,449.00,432.55,437.75,438.80,442.15,,437.75,,,103756,45511227.45,11339,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,25528,INE0X6F01017,SDREAMS,SM,,,,,S D RETAIL LIMITED,148.00,158.00,148.00,154.85,154.00,148.00,,154.85,,,35000,5372200.00,34,F1,1000,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,16791,INE033L07GO5,801TCH25,N4,,,,,SEC RED NCD 8.01% SR.II,998.00,998.00,998.00,998.00,998.00,998.00,,998.00,,,140,139720.00,3,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,22663,INE953L01027,JSFB,EQ,,,,,JANA SMALL FIN BANK LTD,412.35,414.00,403.80,409.75,410.00,411.45,,409.75,,,40333,16519589.45,2546,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,13637,INE780C01023,JMFINANCIL,EQ,,,,,JM FINANCIAL LIMITED,129.90,131.64,125.35,129.77,129.35,129.05,,129.75,,,9358386,1202724265.61,45743,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,1805,INE900B01029,KABRAEXTRU,EQ,,,,,KABRA EXTRUSION TECHNIK L,434.95,448.15,422.65,439.60,441.00,433.10,,439.60,,,67408,29382726.35,3434,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,16827,INE760A01029,KOKUYOCMLN,EQ,,,,,KOKUYO CAMLIN LIMITED,150.00,151.00,137.50,138.62,138.74,154.66,,138.60,,,328785,46371249.04,4555,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,1338,INE480C01038,SDBL,EQ,,,,,SOM DIST & BREW LTD,102.00,104.00,98.87,103.02,102.95,100.50,,103.05,,,792248,81013514.86,13128,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,9117,INE716B01029,TIPSMUSIC,EQ,,,,,TIPS MUSIC LIMITED,928.00,934.75,882.00,890.25,883.95,924.50,,890.15,,,226950,205813829.55,19723,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,24715,INE09XN01023,AKUMS,EQ,,,,,AKUMS DRUGS AND PHARMA L,562.00,573.90,553.00,553.00,553.00,582.10,,553.00,,,518898,289255051.55,5191,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,17383,INE0P7201019,DRONE,ST,,,,,DRONE DESTINATION LIMITED,200.50,205.35,190.30,190.45,190.30,200.30,,190.45,,,60500,11662950.00,110,F1,500,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,14111,INE870H01013,NETWORK18,EQ,,,,,NETWORK18 MEDIA & INV LTD,84.19,85.73,82.73,84.78,84.40,84.82,,84.77,,,3712336,313863612.90,36851,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,24785,INE0YAL01017,PPSL,SM,,,,,PICTUREPOST STUDIOS LTD,31.75,31.95,31.70,31.70,31.75,31.80,,31.70,,,42000,1334250.00,13,F1,3000,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,24481,INE0P4701011,SAHAJSOLAR,ST,,,,,SAHAJ SOLAR LIMITED,518.00,538.00,500.00,530.70,529.00,521.50,,530.70,,,23200,11931750.00,110,F1,200,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,20784,INE413U07251,1050ISFL28,N5,,,,,SEC RE NCD 10.50% SR 6,1058.00,1058.00,1058.00,1058.00,1058.00,1016.00,,1050.00,,,15,15870.00,1,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,12219,INE263M01029,RUSTOMJEE,EQ,,,,,KEYSTONE REALTORS LIMITED,726.85,726.85,702.85,707.50,705.05,724.75,,707.50,,,39106,27875033.70,2365,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,22739,INF247L01AP3,MON100,EQ,,,,,MOTILAL OS NASDAQ100 ETF,174.85,176.00,167.59,169.09,169.25,174.85,,169.15,,,1247236,212624202.47,18775,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,14445,INE308A01027,NAHARPOLY,EQ,,,,,NAHAR POLY FILMS LIMITED,267.49,267.49,250.01,259.05,260.00,258.04,,259.05,,,41811,10828384.85,718,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,967,INE754A01055,SUBEXLTD,EQ,,,,,SUBEX LTD,22.99,23.21,22.03,22.41,22.40,23.01,,22.41,,,4455242,100291460.20,12554,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,3345,INE387A01021,SUNDRMFAST,EQ,,,,,SUNDRAM FASTENERS LTD,1188.45,1194.95,1161.00,1164.20,1161.00,1188.45,,1164.25,,,42320,49463861.40,7618,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,19307,INE0PQ001012,VISHNUINFR,ST,,,,,VISHNUSURYA PROJ N INFR L,271.00,281.00,271.00,280.90,280.90,271.95,,280.90,,,3500,970925.00,7,F1,500,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,2188,INE854S01022,GENCON,EQ,,,,,GENERIC ENG CONS PROJ LTD,36.99,37.89,35.47,37.18,37.40,37.06,,37.20,,,61205,2270223.63,1256,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,1235,INE224A01026,GREAVESCOT,EQ,,,,,GREAVES COTTON LTD.,162.70,169.00,157.50,166.52,165.52,161.87,,166.55,,,2496849,409215662.16,35084,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,11214,INE781B01015,NOIDATOLL,BE,,,,,NOIDA TOLL BRIDGE CO LTD,15.74,16.25,15.74,16.01,16.05,15.74,,16.02,,,130985,2108565.79,236,F1,1,,,,,
2024-11-18,2024-11-18,CM,NSE,STK,6733,INE749A01030,JINDALSTEL,EQ,,,,,JINDAL STEEL & POWER LTD,880.00,903.95,875.25,886.75,883.60,877.40,,886.75,,,1348925,1198546709.55,62107,F1,1,,,,,
