TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-12-18,2024-12-18,CM,NSE,STK,5385,INE216P01012,AAVAS,EQ,,,,,AAVAS FINANCIERS LIMITED,1665.00,1697.90,1665.00,1682.35,1682.00,1664.10,,1682.25,,,223714,377028602.40,12976,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,1797,INE01BK01022,AWHCL,EQ,,,,,ANTONY WASTE HDG CELL LTD,682.95,688.70,667.50,670.40,669.85,678.40,,670.20,,,111527,75430500.45,5832,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,24908,INE0R4Z01018,BRACEPORT,ST,,,,,BRACE PORT LOGISTICS LTD,103.00,105.60,103.00,105.00,105.00,100.60,,105.00,,,17600,1846320.00,11,F1,1600,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,11731,INE025A01027,CONSOFINVT,EQ,,,,,CONSO. FIN. & HOLD. LTD.,237.96,237.96,230.00,232.00,230.02,232.38,,232.00,,,13803,3213633.11,564,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,11571,INE0DK501011,PPLPHARMA,EQ,,,,,PIRAMAL PHARMA LIMITED,262.00,270.00,256.75,264.70,263.50,260.60,,264.70,,,10627087,2812123072.35,105088,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,23721,INE0TNX01015,REFRACTORY,ST,,,,,REFRACTORY SHAPES LIMITED,110.45,110.45,104.85,105.90,107.00,110.35,,105.90,,,20000,2129800.00,18,F1,1000,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,7885,INE268B01013,KREBSBIO,BE,,,,,KREBS BIOCHEMICALS & IND,105.00,105.00,98.62,98.75,99.00,103.82,,98.75,,,18983,1897137.55,155,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,19456,IN0020230093,SGBSEP31II,GB,,,,,2.50%GOLDBONDS2031SR-II,8306.00,8349.99,8283.50,8325.44,8335.00,8352.21,,8324.58,,,749,6232913.22,132,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,368,INE373A01013,BASF,EQ,,,,,BASF INDIA LTD,5613.60,5615.05,5525.05,5581.10,5580.00,5611.15,,5580.70,,,26029,144955789.25,5644,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,22947,INE777F01014,EXICOM,EQ,,,,,EXICOM TELE SYSTEMS LTD,275.00,275.70,264.00,266.45,268.10,272.20,,266.45,,,372585,99554695.70,11688,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,11896,INE007B01023,GEOJITFSL,EQ,,,,,GEOJIT FINANCIAL SER L,121.80,122.70,117.00,118.36,118.50,121.92,,118.35,,,436635,52193567.64,5157,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,1372,INE310C01029,HINDCOMPOS,EQ,,,,,HINDUSTAN COMPOSITES LTD.,559.70,566.50,546.30,553.80,553.15,564.80,,553.80,,,10077,5596368.45,1194,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,25844,INE0V6F01027,HYUNDAI,EQ,,,,,HYUNDAI MOTOR INDIA LTD,1820.50,1822.95,1790.00,1795.85,1795.00,1824.25,,1794.95,,,324766,584413142.00,23637,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,18341,INE0AE001013,VPRPL,EQ,,,,,VISHNU PRAKASH R PUNGLI L,333.80,340.00,323.05,324.95,324.10,331.85,,324.95,,,1856914,614218604.85,31373,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,14111,INE870H01013,NETWORK18,EQ,,,,,NETWORK18 MEDIA & INV LTD,74.00,74.00,72.20,72.56,72.37,73.54,,72.56,,,3145198,229210876.93,33926,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,24785,INE0YAL01017,PPSL,SM,,,,,PICTUREPOST STUDIOS LTD,33.75,34.00,32.85,32.85,32.85,33.40,,32.85,,,39000,1314000.00,13,F1,3000,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,24481,INE0P4701011,SAHAJSOLAR,ST,,,,,SAHAJ SOLAR LIMITED,538.00,559.95,520.30,540.05,544.55,539.30,,540.05,,,36200,19634230.00,174,F1,200,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,20784,INE413U07251,1050ISFL28,N5,,,,,SEC RE NCD 10.50% SR 6,970.00,970.00,970.00,970.00,970.00,968.00,,956.80,,,1,970.00,1,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,12219,INE263M01029,RUSTOMJEE,EQ,,,,,KEYSTONE REALTORS LIMITED,693.95,697.95,683.20,689.50,696.00,687.95,,689.50,,,35429,24401802.55,1565,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,22739,INF247L01AP3,MON100,EQ,,,,,MOTILAL OS NASDAQ100 ETF,218.00,218.74,210.50,211.40,211.95,212.93,,211.40,,,855137,182133563.26,15342,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,14445,INE308A01027,NAHARPOLY,EQ,,,,,NAHAR POLY FILMS LIMITED,307.60,314.85,301.25,304.50,303.00,309.60,,304.50,,,72547,22328907.50,2331,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,24715,INE09XN01023,AKUMS,EQ,,,,,AKUMS DRUGS AND PHARMA L,583.60,591.20,568.90,570.45,571.90,578.95,,570.45,,,245548,141557284.70,9091,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,17383,INE0P7201019,DRONE,ST,,,,,DRONE DESTINATION LIMITED,190.00,191.00,186.55,187.90,188.00,192.25,,187.90,,,25000,4722875.00,44,F1,500,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,967,INE754A01055,SUBEXLTD,EQ,,,,,SUBEX LTD,23.94,23.99,23.35,23.44,23.48,23.94,,23.44,,,1985572,46825252.79,6682,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,3345,INE387A01021,SUNDRMFAST,EQ,,,,,SUNDRAM FASTENERS LTD,1136.00,1136.00,1100.50,1109.85,1110.05,1129.25,,1109.85,,,202225,225322626.90,18545,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,11214,INE781B01015,NOIDATOLL,BE,,,,,NOIDA TOLL BRIDGE CO LTD,18.58,18.58,18.58,18.58,18.58,19.56,,18.57,,,94636,1758336.88,129,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,17934,INE121A07RG4,965IHFL25D,N7,,,,,SEC RE NCD SR 2,1105.00,1105.00,1105.00,1105.00,1105.00,1098.50,,1105.00,,,165,182325.00,1,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,6733,INE749A01030,JINDALSTEL,EQ,,,,,JINDAL STEEL & POWER LTD,960.00,961.65,926.85,931.45,932.00,951.50,,931.45,,,946566,892357117.95,41415,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,9641,INE060B01014,KHANDSE,EQ,,,,,KHANDWALA SECURITIES LTD,28.50,28.50,27.72,27.91,27.72,28.22,,27.89,,,3354,94277.12,269,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,2188,INE854S01022,GENCON,EQ,,,,,GENERIC ENG CONS PROJ LTD,49.07,50.04,46.92,47.32,47.69,48.95,,47.33,,,149929,7195553.06,3388,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,1235,INE224A01026,GREAVESCOT,EQ,,,,,GREAVES COTTON LTD.,241.00,247.80,230.40,239.95,240.90,239.47,,239.85,,,3882801,939202304.62,25404,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,3396,INE123C01018,TAINWALCHM,EQ,,,,,TAINWALA CHEMICAL AND PLA,298.00,299.15,291.40,295.30,296.00,297.35,,295.30,,,7703,2265713.85,348,F1,1,,,,,
2024-12-18,2024-12-18,CM,NSE,STK,24520,INE0OXV01027,TUNWAL,SM,,,,,TUNWAL E-MOTORS LIMITED,50.50,50.50,47.00,49.00,48.80,50.40,,49.00,,,282000,13681000.00,123,F1,2000,,,,,
