TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-08-13,2024-08-13,CM,NSE,STK,1472,INE648Z01023,ACCURACY,BE,,,,,ACCURACY SHIPPING LIMITED,11.34,11.39,11.00,11.07,11.09,11.12,,11.07,,,243105,2727488.96,1507,F1,1,,,,,
2024-08-13,2024-08-13,CM,NSE,STK,4487,INE150B01039,ALKYLAMINE,EQ,,,,,ALKYL AMINES CHEM. LTD,2056.30,2062.60,2000.00,2021.90,2020.00,2056.30,,2022.05,,,33793,68499512.65,6643,F1,1,,,,,
2024-08-13,2024-08-13,CM,NSE,STK,11966,INE00E101023,BIKAJI,EQ,,,,,BIKAJI FOODS INTERN LTD,863.65,875.00,838.00,849.70,849.95,861.85,,849.70,,,1240704,1063883445.90,46925,F1,1,,,,,
2024-08-13,2024-08-13,CM,NSE,STK,11778,INE887G01027,GOKEX,EQ,,,,,GOKALDAS EXPORTS LTD.,911.30,920.00,900.95,906.75,907.00,911.25,,906.75,,,171857,155852618.00,20059,F1,1,,,,,
2024-08-13,2024-08-13,CM,NSE,STK,6286,INE255D01024,GULPOLY,EQ,,,,,GULSHAN POLYOLS LIMITED,180.00,186.10,178.95,182.15,182.22,179.78,,182.14,,,239309,43726033.25,8846,F1,1,,,,,
2024-08-13,2024-08-13,CM,NSE,STK,15161,INE120D01012,HITECHCORP,EQ,,,,,HITECH CORPORATION LTD,237.26,238.19,219.10,221.47,221.00,236.92,,221.47,,,37100,8390774.09,1048,F1,1,,,,,
2024-08-13,2024-08-13,CM,NSE,STK,16867,INE197J01017,LPDC,BE,,,,,LANDMARK PR.DEV.CO.LTD,11.04,11.04,11.04,11.04,11.04,11.27,,11.23,,,15534,171495.36,83,F1,1,,,,,
2024-08-13,2024-08-13,CM,NSE,STK,1997,INE115A01026,LICHSGFIN,EQ,,,,,LIC HOUSING FINANCE LTD,654.40,654.55,638.65,641.70,644.00,646.65,,641.65,,,3857891,2497149974.65,85232,F1,1,,,,,
2024-08-13,2024-08-13,CM,NSE,STK,9219,INE413G01022,TPLPLASTEH,EQ,,,,,TPL PLASTECH LIMITED,111.00,112.49,103.55,104.27,104.40,108.64,,104.26,,,834157,89360314.34,4863,F1,1,,,,,
2024-08-13,2024-08-13,CM,NSE,STK,10610,INE0CBM01019,USASEEDS,SM,,,,,UPSURGE SEEDS OF AGRI LTD,267.00,273.00,267.00,273.00,273.00,265.50,,273.00,,,1800,485100.00,6,F1,300,,,,,
